,OR,P
SAUSA300_0844,0.994276683233786,0.0560328689109721
SAUSA300_0984,0.997740939105798,0.0104498311113089
SAUSA300_0995,0.997402008243377,2.67762376414827e-06
SAUSA300_0996,0.994843994847862,1.00866629280606e-07
SAUSA300_1014,0.983302617941395,0.0176822288610338
SAUSA300_1080,0.99708851916017,1.41799437807079e-05
SAUSA300_1083,0.997549809353285,0.000278861530443343
SAUSA300_1150,0.996444741850739,4.40571837631271e-09
SAUSA300_1167,0.995211598352244,1.49913837412805e-06
SAUSA300_1179,0.995712138009372,4.37470372745959e-08
SAUSA300_1201,0.996695325137079,7.5665858299687e-09
SAUSA300_1239,0.993430763332423,0.0129581439028385
SAUSA300_1381,0.999393051422283,4.12345851531084e-05
SAUSA300_1540,0.990718849309863,3.67275808286798e-09
SAUSA300_1573,0.998009839714248,8.49847965581382e-05
SAUSA300_1593,0.990867794041666,1.36062187848798e-05
SAUSA300_1602,0.99943781481555,2.25409533111636e-07
SAUSA300_1603,0.999287832331749,5.92258957126789e-05
SAUSA300_1629,0.994513833155304,0.0795206346063482
SAUSA300_1755,0.998265143701326,0.000203646402064117
SAUSA300_1836,0.999577001359208,0.425172805813148
SAUSA300_1881,0.993941250519187,2.18156720942305e-06
SAUSA300_1991,0.995588542451261,2.43135727133839e-06
SAUSA300_2058,0.996302920535545,0.00798604745008617
SAUSA300_2060,0.994527057501087,0.000630032909716162
SAUSA300_2118,0.998182059424031,0.0462890508473
SAUSA300_2171,0.998660152288635,4.12624007656694e-09
SAUSA300_2180,0.997973001983429,1.67169790129122e-05
SAUSA300_2183,0.99819808798057,2.50884219435046e-10
SAUSA300_2188,0.998894132436139,3.36716827724895e-07
SAUSA300_2190,0.998792053356568,0.000115674394187338
SAUSA300_2196,0.998350197271036,6.7999060444786e-06
SAUSA300_2364,0.998942009918807,3.47290374336555e-05
SAUSA300_2494,0.991169350934218,0.000670155767563205
SAUSA300_2568,0.998139735362306,0.46954875795779
SAUSA300_0006,0.987321291830584,0.00293067976218027
SAUSA300_0220,0.997551041414027,0.180278152053232
SAUSA300_0366,0.999115518242536,5.44199437242619e-07
SAUSA300_0380,0.998455558080261,9.38635707210697e-06
SAUSA300_0438,0.995361653700648,0.000759214140433062
SAUSA300_0474,0.997527957177424,0.0163548379646042
SAUSA300_0521,0.997725991129514,6.08632336981148e-06
SAUSA300_0522,0.998985023292589,4.10974904608295e-07
SAUSA300_0531,0.998677406584334,0.000342862704817652
SAUSA300_0572,0.992212220380461,3.66615209750968e-06
SAUSA300_0640,0.992217531756384,0.000143592332282572
SAUSA300_0703,0.998050737304424,7.37211330835952e-07
SAUSA300_0715,0.998721991666703,9.3926267053485e-07
SAUSA300_0717,0.997629681793659,2.1187378240958e-08
SAUSA300_0742,0.979230479533989,0.0104120552232134
SAUSA300_0755,0.997061327203786,7.08233024952001e-05
SAUSA300_0756,0.998716478779085,6.40796643443479e-05
SAUSA300_0757,0.994968248498424,1.20715642372201e-07
SAUSA300_0764,0.992034873262183,0.000850618295844344
SAUSA300_0829,0.991696607371959,2.5121204744014e-05
SAUSA300_0846,0.993099628112118,0.00145371734802065
SAUSA300_0877,0.989205154905369,0.0415268449693093
SAUSA300_1016,0.994426183453221,0.0082367750535244
SAUSA300_1026,0.998903284291606,5.46823859760863e-05
SAUSA300_1079,0.991647057935936,1.3029927455958e-12
SAUSA300_1113,0.990348997987461,5.01051695538546e-05
SAUSA300_1143,0.993322427389612,0.000122295392082371
SAUSA300_1144,0.992311655511379,3.20512447755328e-05
SAUSA300_1169,0.984876071936137,2.53821848014382e-07
SAUSA300_1245,0.992898954373299,2.30346257869186e-05
SAUSA300_1382,0.999247002497039,2.19300448315861e-05
SAUSA300_1441,0.983653814967063,6.11681905396835e-07
SAUSA300_1448,0.994209704327751,2.11507123231741e-09
SAUSA300_1464,0.989086085248877,0.000413467872264844
SAUSA300_1544,0.989215825908112,0.000111113677017146
SAUSA300_1569,0.993850757969476,4.70182496584704e-05
SAUSA300_1600,0.992567967320471,6.74292539136238e-05
SAUSA300_1611,0.98909769431965,0.000391924971823111
SAUSA300_1642,0.995060823934884,0.0422554178489498
