	16_S3	17_S4	18_S1	19_S2	21_S3	23_S3	24_S2	27_S1	28_S4	30_S3	34_S1	35_S4	36_S1	38_S2	40_S2	42_S3	44_S3	45_S1	46_S4	47_S4	51_S2	54_S4	5_S1	8_S2
clpC	0.00	0.00	40.00	0.00	0.00	5.00	28.00	33.00	11.00	0.00	0.00	0.00	0.00	31.00	0.00	0.00	0.00	0.00	0.00	0.00	28.00	0.00	0.00	0.00
cls	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
cmk	0.00	0.00	0.00	0.00	0.00	0.00	45.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
coa	0.00	0.00	0.00	0.00	0.00	21.00	0.00	44.00	13.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	70.00	0.00	0.00	0.00
coaA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
coaBC	0.00	0.00	0.00	0.00	0.00	17.00	13.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.00	0.00	0.00	0.00
cobI	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
codY	0.00	0.00	0.00	0.00	0.00	98.00	65.00	136.00	0.00	0.00	0.00	0.00	61.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	124.00	0.00	0.00	0.00
copA	0.00	0.00	11.00	0.00	0.00	21.00	21.00	0.00	0.00	0.00	0.00	0.00	26.00	14.00	0.00	0.00	0.00	0.00	0.00	8.00	106.00	0.00	0.00	0.00
corA	0.00	0.00	0.00	0.00	0.00	39.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.00	0.00	82.00	0.00
