	16_S3	17_S4	18_S1	19_S2	21_S3	23_S3	24_S2	27_S1	28_S4	30_S3	34_S1	35_S4	36_S1	38_S2	40_S2	42_S3	44_S3	45_S1	46_S4	47_S4	51_S2	54_S4	5_S1	8_S2
moaE	0.00	0.00	0.00	0.00	0.00	0.00	0.00	68.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	56.00	0.00	0.00	0.00
mobA	0.00	0.00	0.00	0.00	0.00	0.00	32.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
mobB	0.00	0.00	0.00	0.00	0.00	38.00	0.00	51.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	50.00	0.00	0.00	0.00
modA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
modB	0.00	0.00	0.00	0.00	0.00	0.00	23.00	0.00	0.00	0.00	0.00	0.00	0.00	73.00	0.00	0.00	0.00	0.00	0.00	0.00	104.00	0.00	9.00	0.00
modC	0.00	0.00	0.00	0.00	0.00	0.00	95.00	0.00	38.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	28.00	0.00	55.00	0.00
moeA	0.00	0.00	150.00	0.00	0.00	52.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	19.00	0.00	0.00	0.00
moeB	0.00	0.00	63.00	0.00	0.00	15.00	11.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
mqo	29.00	0.00	92.00	0.00	0.00	192.00	188.00	21.00	167.00	0.00	0.00	0.00	17.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	41.00	0.00	0.00	0.00
msrA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
msrB	0.00	0.00	92.00	174.00	0.00	96.00	473.00	93.00	149.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	332.00	0.00	0.00	0.00
mtlA	0.00	0.00	22.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
mtlD	0.00	0.00	32.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	19.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
mtlF	0.00	0.00	61.00	0.00	0.00	0.00	0.00	0.00	17.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
mtnN	0.00	0.00	0.00	0.00	0.00	0.00	31.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
murA	0.00	0.00	0.00	0.00	0.00	28.00	138.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	96.00	0.00	0.00	0.00
murE	0.00	0.00	0.00	0.00	0.00	27.00	21.00	21.00	49.00	0.00	0.00	0.00	22.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	14.00	0.00	0.00	0.00
murF	0.00	0.00	0.00	21.00	0.00	0.00	22.00	64.00	45.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	45.00	0.00	0.00	0.00
murG	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
murQ	0.00	0.00	99.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
mutL	0.00	0.00	39.00	0.00	0.00	28.00	36.00	57.00	0.00	0.00	0.00	0.00	22.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	44.00	0.00	0.00	0.00
mutS	0.00	0.00	0.00	0.00	0.00	9.00	0.00	13.00	25.00	0.00	0.00	0.00	26.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	79.00	0.00	0.00	0.00
nadD	0.00	0.00	0.00	0.00	0.00	92.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	72.00	0.00	0.00	0.00
name	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
narH	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
narI	0.00	0.00	209.00	0.00	0.00	0.00	30.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
narJ	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
narK	0.00	0.00	52.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	28.00	0.00
ndk	0.00	0.00	118.00	0.00	0.00	53.00	0.00	51.00	191.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
nhaC	0.00	0.00	0.00	0.00	0.00	32.00	95.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	31.00	0.00	0.00	0.00
nirB	0.00	0.00	0.00	0.00	0.00	7.00	0.00	0.00	0.00	0.00	0.00	0.00	13.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
nirD	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	62.00	0.00	0.00	0.00	67.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	94.00	0.00
nirR	0.00	0.00	0.00	0.00	0.00	0.00	0.00	18.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
nixA	0.00	0.00	0.00	0.00	0.00	0.00	38.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
nrdD	0.00	0.00	62.00	41.00	0.00	156.00	412.00	218.00	102.00	0.00	0.00	0.00	42.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	244.00	0.00	0.00	0.00
nrdG	219.00	0.00	0.00	0.00	0.00	54.00	153.00	0.00	41.00	0.00	0.00	0.00	33.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.00	0.00	0.00	0.00
nsaS	0.00	0.00	0.00	0.00	0.00	14.00	2.00	45.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
nth	0.00	0.00	0.00	0.00	0.00	0.00	48.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
nuc	0.00	0.00	0.00	0.00	0.00	0.00	30.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
nupC	0.00	0.00	45.00	0.00	0.00	25.00	38.00	0.00	32.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	42.00	0.00
nusA	0.00	0.00	46.00	0.00	0.00	28.00	41.00	26.00	47.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	31.00	0.00	0.00	0.00
nusB	0.00	0.00	0.00	0.00	0.00	0.00	25.00	75.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	43.00	0.00	0.00	0.00
nusG	0.00	0.00	88.00	0.00	0.00	273.00	573.00	73.00	194.00	0.00	0.00	0.00	293.00	0.00	0.00	0.00	0.00	0.00	0.00	197.00	411.00	0.00	0.00	0.00
opp-1A	28.00	0.00	67.00	35.00	0.00	67.00	166.00	82.00	158.00	0.00	0.00	0.00	53.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	179.00	0.00	63.00	0.00
opp-2B	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	32.00	0.00	0.00	0.00
opp-2F	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	51.00	0.00	0.00	0.00
opp-3B	0.00	0.00	0.00	0.00	0.00	0.00	43.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
opp-3C	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
oppA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
oppB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
oppC	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
oppD	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	30.00	0.00	0.00	0.00
oppF	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	31.00	0.00	0.00	0.00
opuCa	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
opuCb	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
opuCc	0.00	0.00	0.00	0.00	0.00	0.00	0.00	39.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	17.00	0.00	0.00	0.00
opuCd	0.00	0.00	0.00	0.00	0.00	0.00	0.00	67.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
oxaA	0.00	0.00	0.00	0.00	0.00	132.00	77.00	131.00	240.00	0.00	0.00	0.00	58.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	377.00	0.00	97.00	0.00
panB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	60.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34.00	0.00	34.00	0.00
panC	0.00	0.00	0.00	0.00	0.00	0.00	17.00	0.00	24.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	62.00	0.00	0.00	0.00
panD	0.00	0.00	0.00	0.00	0.00	82.00	30.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
panE	0.00	0.00	0.00	0.00	0.00	0.00	0.00	75.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
pbp2	0.00	0.00	22.00	0.00	0.00	165.00	203.00	69.00	150.00	0.00	0.00	0.00	0.00	19.00	0.00	0.00	0.00	0.00	0.00	0.00	240.00	0.00	0.00	0.00
pbp3	0.00	0.00	17.00	0.00	0.00	10.00	11.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	42.00	0.00	0.00	0.00
pcp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
pdp	139.00	0.00	0.00	0.00	0.00	14.00	25.00	28.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.00	0.00
pepF	0.00	0.00	0.00	0.00	0.00	51.00	70.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.00	0.00	0.00	0.00
pflA	0.00	0.00	317.00	240.00	0.00	152.00	193.00	243.00	175.00	0.00	0.00	0.00	41.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	40.00	0.00	90.00	0.00
pflB	0.00	0.00	192.00	114.00	0.00	0.00	51.00	110.00	122.00	0.00	0.00	0.00	39.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	39.00	0.00	83.00	0.00
pgi	0.00	0.00	0.00	0.00	0.00	18.00	45.00	0.00	17.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	71.00	0.00	0.00	0.00
pgsA	0.00	0.00	0.00	0.00	0.00	51.00	22.00	61.00	48.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	41.00	0.00	0.00	0.00
phnC	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
phnE	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
phoB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.00	0.00	0.00	0.00
phoH	0.00	0.00	0.00	0.00	0.00	29.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	53.00	0.00
phoU	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
pknB	0.00	0.00	0.00	0.00	0.00	45.00	101.00	48.00	50.00	0.00	0.00	0.00	17.00	0.00	0.00	0.00	0.00	0.00	0.00	44.00	124.00	0.00	44.00	0.00
plc	0.00	0.00	33.00	83.00	0.00	11.00	16.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	33.00	0.00	0.00	0.00
plsX	0.00	0.00	0.00	0.00	0.00	28.00	98.00	33.00	130.00	0.00	0.00	0.00	32.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	50.00	0.00
pnbA	0.00	0.00	0.00	25.00	0.00	0.00	35.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
pnpA	0.00	0.00	66.00	0.00	0.00	256.00	148.00	69.00	195.00	0.00	0.00	0.00	42.00	47.00	0.00	0.00	0.00	0.00	0.00	0.00	205.00	0.00	14.00	0.00
polA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
polC	0.00	0.00	0.00	0.00	0.00	28.00	34.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	38.00	0.00	6.00	0.00
ppnK	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	83.00	0.00	0.00	0.00
prfA	0.00	0.00	0.00	0.00	0.00	61.00	0.00	0.00	0.00	0.00	0.00	0.00	42.00	0.00	0.00	0.00	0.00	0.00	0.00	127.00	30.00	0.00	0.00	0.00
prfC	0.00	0.00	34.00	0.00	0.00	71.00	39.00	45.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	75.00	0.00	0.00	0.00
priA	0.00	0.00	0.00	0.00	0.00	13.00	12.00	0.00	19.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	50.00	0.00	0.00	0.00
prmA	0.00	0.00	0.00	0.00	0.00	0.00	122.00	0.00	60.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.00	0.00	90.00	0.00
proC	0.00	0.00	0.00	0.00	0.00	27.00	19.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
proS	0.00	0.00	23.00	0.00	0.00	0.00	102.00	39.00	42.00	0.00	0.00	0.00	28.00	0.00	0.00	0.00	0.00	0.00	0.00	47.00	63.00	0.00	0.00	0.00
prs	0.00	0.00	0.00	0.00	0.00	158.00	60.00	151.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.00	0.00	0.00	0.00	0.00
pstA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
pstB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
pstC	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
pstS	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
pth	0.00	0.00	0.00	0.00	0.00	0.00	40.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ptsG	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	19.00	0.00	0.00	0.00
purA	0.00	0.00	0.00	0.00	0.00	140.00	0.00	25.00	27.00	0.00	0.00	0.00	23.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	42.00	0.00	55.00	0.00
purR	36.00	0.00	0.00	0.00	0.00	0.00	116.00	221.00	21.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	119.00	0.00
pyrD	0.00	0.00	90.00	0.00	0.00	117.00	70.00	0.00	18.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	53.00	0.00	25.00	0.00
pyrE	0.00	0.00	0.00	0.00	0.00	40.00	36.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	65.00	0.00	0.00	0.00
pyrG	0.00	0.00	37.00	0.00	0.00	71.00	6.00	105.00	22.00	0.00	0.00	0.00	40.00	0.00	0.00	0.00	0.00	0.00	0.00	20.00	39.00	0.00	0.00	0.00
pyrH	0.00	0.00	0.00	0.00	0.00	188.00	87.00	77.00	53.00	0.00	0.00	0.00	177.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	191.00	0.00	82.00	0.00
radA	0.00	0.00	35.00	0.00	0.00	9.00	61.00	7.00	0.00	0.00	0.00	0.00	33.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	62.00	0.00	0.00	0.00
rarD	0.00	0.00	0.00	0.00	0.00	0.00	0.00	59.00	0.00	0.00	0.00	0.00	46.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
rbfA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	54.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	53.00	0.00	0.00	0.00
rbgA	0.00	0.00	0.00	22.00	0.00	47.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	17.00	0.00	0.00	0.00
rbsD	0.00	0.00	0.00	0.00	0.00	0.00	40.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
rbsK	0.00	0.00	0.00	0.00	0.00	0.00	8.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
recA	0.00	0.00	0.00	0.00	0.00	74.00	54.00	43.00	31.00	0.00	0.00	0.00	45.00	0.00	0.00	0.00	0.00	0.00	0.00	31.00	162.00	0.00	0.00	0.00
recF	0.00	0.00	0.00	0.00	0.00	45.00	21.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.00	0.00	0.00	0.00
recG	0.00	0.00	0.00	0.00	0.00	17.00	9.00	0.00	46.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.00	0.00	0.00	0.00
recN	0.00	0.00	64.00	0.00	0.00	51.00	49.00	18.00	0.00	0.00	0.00	0.00	39.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	45.00	0.00	0.00	0.00
recO	0.00	0.00	0.00	0.00	0.00	0.00	18.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	85.00	0.00	0.00	0.00
recQ	0.00	0.00	0.00	0.00	0.00	8.00	46.00	68.00	19.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.00	0.00	0.00	0.00
recR	0.00	0.00	0.00	0.00	0.00	0.00	243.00	0.00	64.00	0.00	0.00	0.00	37.00	0.00	0.00	0.00	0.00	0.00	0.00	47.00	105.00	0.00	0.00	0.00
recU	0.00	0.00	0.00	0.00	0.00	85.00	90.00	56.00	153.00	0.00	0.00	0.00	102.00	219.00	0.00	0.00	0.00	0.00	0.00	0.00	83.00	0.00	0.00	0.00
rexA	0.00	0.00	28.00	0.00	0.00	14.00	10.00	0.00	34.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	23.00	0.00	0.00	0.00
rexB	0.00	0.00	0.00	0.00	0.00	9.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00
rho	0.00	0.00	0.00	0.00	0.00	30.00	63.00	70.00	59.00	0.00	0.00	0.00	12.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	59.00	0.00	0.00	0.00
ribF	0.00	0.00	0.00	0.00	0.00	72.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.00	0.00	0.00	0.00
rimM	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	44.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	26.00	0.00	0.00	0.00
rluB	0.00	0.00	0.00	0.00	0.00	38.00	32.00	0.00	0.00	0.00	0.00	0.00	76.00	0.00	0.00	0.00	0.00	0.00	0.00	26.00	39.00	0.00	0.00	0.00
rnc	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	56.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
rnhB	0.00	0.00	0.00	95.00	0.00	0.00	35.00	0.00	0.00	0.00	0.00	0.00	90.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	37.00	0.00	0.00	0.00
rnpA	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	61.00	0.00	58.00	0.00
rocD	0.00	0.00	41.00	0.00	0.00	0.00	91.00	0.00	0.00	0.00	0.00	0.00	62.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	52.00	0.00
rocF	35.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
rpe	0.00	0.00	0.00	0.00	0.00	76.00	55.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
rpiA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	84.00	0.00
rplA	0.00	0.00	59.00	115.00	0.00	679.00	815.00	55.00	343.00	0.00	0.00	0.00	202.00	61.00	0.00	0.00	0.00	0.00	0.00	242.00	500.00	0.00	0.00	0.00
rplB	76.00	0.00	99.00	0.00	0.00	788.00	547.00	138.00	508.00	0.00	0.00	0.00	357.00	77.00	0.00	0.00	0.00	0.00	0.00	116.00	618.00	0.00	31.00	0.00
rplC	0.00	0.00	0.00	0.00	0.00	497.00	585.00	467.00	327.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	76.00	484.00	0.00	146.00	0.00
rplD	36.00	0.00	141.00	0.00	0.00	1111.00	691.00	307.00	340.00	0.00	0.00	0.00	637.00	0.00	0.00	0.00	0.00	0.00	0.00	63.00	1240.00	0.00	506.00	0.00
rplE	0.00	0.00	0.00	0.00	0.00	380.00	299.00	379.00	366.00	0.00	0.00	0.00	363.00	0.00	0.00	0.00	0.00	0.00	0.00	97.00	268.00	0.00	68.00	0.00
rplF	0.00	0.00	71.00	115.00	0.00	818.00	533.00	72.00	339.00	0.00	0.00	0.00	123.00	40.00	0.00	0.00	0.00	0.00	0.00	118.00	426.00	0.00	220.00	0.00
rplI	0.00	0.00	0.00	0.00	0.00	124.00	19.00	0.00	125.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	112.00	0.00	0.00	0.00
rplJ	0.00	0.00	0.00	0.00	0.00	436.00	566.00	87.00	586.00	0.00	0.00	0.00	354.00	0.00	0.00	0.00	0.00	0.00	0.00	115.00	893.00	0.00	0.00	0.00
